,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Romania 6M,6.022,6.050,6.050,6.050,-0.028,-0.46%,07:44:01,
,Romania 1Y,5.903,6.080,6.200,6.040,-0.177,-2.92%,07:44:01,
,Romania 2Y,5.930,6.080,6.050,6.030,-0.150,-2.47%,07:44:03,
,Romania 3Y,6.030,6.140,6.130,6.100,-0.110,-1.79%,07:44:03,
,Romania 4Y,6.050,6.140,6.150,6.100,-0.090,-1.47%,07:44:04,
,Romania 5Y,6.220,6.320,6.320,6.250,-0.100,-1.58%,07:44:03,
,Romania 7Y,6.470,6.570,6.630,6.550,-0.100,-1.52%,07:44:06,
,Romania 10Y,6.780,6.870,6.880,6.800,-0.090,-1.31%,07:44:01,
