,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,New Zealand 1M,5.640,5.640,5.640,5.630,0.000,0.00%,13/06,
,New Zealand 2M,5.650,5.650,5.650,5.650,0.000,0.00%,09/06,
,New Zealand 3M,5.650,5.650,5.660,5.640,0.000,0.00%,13/06,
,New Zealand 4M,5.640,5.650,5.640,5.640,-0.010,-0.18%,00:34:02,
,New Zealand 5M,5.630,5.650,5.630,5.630,-0.020,-0.35%,00:34:15,
,New Zealand 6M,5.630,5.630,5.630,5.630,0.000,0.00%,13/06,
,New Zealand 1Y,5.416,5.426,5.435,5.410,-0.010,-0.18%,01:00:00,
,New Zealand 2Y,4.911,4.873,4.880,4.798,+0.000,+0.00%,23/05,
,New Zealand 5Y,4.522,4.495,4.534,4.511,+0.027,+0.60%,01:28:31,
,New Zealand 7Y,4.556,4.528,4.567,4.546,+0.028,+0.62%,01:28:37,
,New Zealand 10Y,4.661,4.631,4.679,4.648,+0.030,+0.65%,01:28:36,
,New Zealand 15Y,4.821,4.788,4.838,4.807,+0.033,+0.69%,01:28:38,
,New Zealand 20Y,4.959,4.923,4.966,4.943,+0.036,+0.73%,01:28:38,
