,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,China 1Y,1.587,1.593,1.609,1.589,-0.006,-0.41%,06:15:47,
,China 2Y,1.720,1.744,1.790,1.739,-0.024,-1.35%,05:41:37,
,China 3Y,1.895,1.906,1.923,1.899,-0.011,-0.55%,05:01:28,
,China 5Y,2.049,2.055,2.115,2.046,-0.005,-0.27%,06:06:44,
,China 7Y,2.198,2.204,2.216,2.195,-0.005,-0.25%,06:16:26,
,China 10Y,2.302,2.302,2.314,2.286,0.000,0.00%,07:07:18,
,China 15Y,2.312,2.333,2.374,2.374,-0.021,-0.90%,00:17:54,
,China 20Y,2.549,2.580,2.590,2.565,-0.032,-1.22%,05:35:10,
,China 30Y,2.524,2.531,2.541,2.504,-0.007,-0.28%,06:01:08,
