,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Germany 3M,3.555,3.569,3.578,3.552,-0.014,-0.39%,07:42:37,
,Germany 6M,3.496,3.502,3.551,3.479,-0.006,-0.17%,07:41:47,
,Germany 9M,3.348,3.424,3.440,3.348,-0.076,-2.22%,07:42:20,
,Germany 1Y,3.216,3.349,3.341,3.213,-0.133,-3.97%,07:44:04,
,Germany 2Y,2.714,2.894,2.867,2.706,-0.180,-6.22%,07:44:38,
,Germany 3Y,2.504,2.685,2.743,2.498,-0.181,-6.74%,07:44:34,
,Germany 4Y,2.378,2.546,2.523,2.372,-0.168,-6.60%,07:44:34,
,Germany 5Y,2.348,2.506,2.490,2.345,-0.158,-6.30%,07:44:32,
,Germany 6Y,2.274,2.429,2.414,2.273,-0.155,-6.38%,07:44:37,
,Germany 7Y,2.261,2.412,2.396,2.261,-0.151,-6.26%,07:44:34,
,Germany 8Y,2.275,2.422,2.403,2.275,-0.147,-6.07%,07:44:35,
,Germany 9Y,2.311,2.454,2.435,2.311,-0.143,-5.83%,07:44:36,
,Germany 10Y,2.3500,2.4910,2.4780,2.3495,-0.1410,-5.66%,07:44:28,
,Germany 15Y,2.556,2.698,2.685,2.556,-0.142,-5.26%,07:44:36,
,Germany 20Y,2.557,2.697,2.688,2.556,-0.140,-5.19%,07:44:34,
,Germany 25Y,2.547,2.688,2.643,2.546,-0.141,-5.25%,07:44:36,
,Germany 30Y,2.523,2.661,2.647,2.522,-0.138,-5.19%,07:44:30,
