,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Hong Kong 1W,4.077,4.080,4.080,3.980,-0.003,-0.06%,06:48:12,
,Hong Kong 1M,4.307,4.290,4.300,4.249,+0.017,+0.40%,06:48:06,
,Hong Kong 3M,4.372,4.390,4.390,4.330,-0.018,-0.42%,06:48:09,
,Hong Kong 6M,4.318,4.350,4.350,4.300,-0.033,-0.75%,06:48:12,
,Hong Kong 9M,4.305,4.360,4.360,4.310,-0.056,-1.27%,06:48:03,
,Hong Kong 1Y,4.263,4.360,4.360,4.290,-0.097,-2.22%,06:48:00,
,Hong Kong 2Y,3.776,3.920,3.920,3.812,-0.144,-3.67%,06:48:13,
,Hong Kong 3Y,3.408,3.572,3.572,3.482,-0.164,-4.59%,06:35:46,
,Hong Kong 5Y,3.321,3.464,3.464,3.374,-0.143,-4.13%,05:03:25,
,Hong Kong 7Y,3.299,3.422,3.422,3.339,-0.122,-3.58%,05:03:27,
,Hong Kong 10Y,3.511,3.651,3.651,3.569,-0.140,-3.83%,05:03:23,
,Hong Kong 15Y,3.888,4.021,4.021,3.933,-0.133,-3.31%,05:03:33,
,Hong Kong 20Y,3.944,4.095,4.095,4.010,-0.151,-3.69%,05:03:21,
