,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Spain 1M,3.603,3.600,3.608,3.531,+0.003,+0.08%,07:38:56,
,Spain 3M,3.523,3.518,3.518,3.473,+0.005,+0.14%,07:38:42,
,Spain 6M,3.412,3.426,3.430,3.361,-0.014,-0.41%,07:43:34,
,Spain 9M,3.438,3.499,3.484,3.440,-0.060,-1.73%,07:44:09,
,Spain 1Y,3.338,3.409,3.406,3.346,-0.071,-2.10%,07:43:56,
,Spain 2Y,3.072,3.164,3.155,3.080,-0.092,-2.91%,07:44:24,
,Spain 3Y,2.993,3.084,3.060,2.998,-0.091,-2.95%,07:44:24,
,Spain 4Y,2.918,2.995,2.968,2.917,-0.077,-2.57%,07:44:21,
,Spain 5Y,2.947,3.018,3.016,2.946,-0.070,-2.34%,07:44:17,
,Spain 6Y,2.954,3.021,3.002,2.951,-0.067,-2.22%,07:44:20,
,Spain 7Y,3.005,3.079,3.065,3.011,-0.074,-2.40%,07:44:23,
,Spain 8Y,3.086,3.152,3.136,3.084,-0.066,-2.08%,07:44:22,
,Spain 9Y,3.186,3.235,3.223,3.168,-0.049,-1.51%,07:44:13,
,Spain 10Y,3.328,3.371,3.358,3.305,-0.043,-1.28%,07:44:22,
,Spain 15Y,3.611,3.658,3.654,3.595,-0.048,-1.30%,07:44:21,
,Spain 20Y,3.745,3.796,3.792,3.729,-0.051,-1.34%,07:44:17,
,Spain 25Y,3.780,3.826,3.821,3.760,-0.045,-1.19%,07:44:23,
,Spain 30Y,3.923,3.966,3.972,3.905,-0.043,-1.08%,07:44:17,
