,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Bangladesh 3M,12.120,11.650,11.650,11.650,+0.470,+4.03%,13/06,
,Bangladesh 6M,12.100,11.800,11.800,11.800,+0.300,+2.54%,13/06,
,Bangladesh 1Y,11.960,12.000,12.000,12.000,-0.040,-0.33%,13/06,
,Bangladesh 2Y,12.625,12.300,12.300,12.300,+0.325,+2.64%,13/06,
,Bangladesh 5Y,12.785,12.450,12.450,12.450,+0.335,+2.69%,13/06,
,Bangladesh 10Y,12.890,12.550,12.550,12.550,+0.340,+2.71%,13/06,
,Bangladesh 15Y,12.995,12.650,12.650,12.650,+0.345,+2.73%,13/06,
,Bangladesh 20Y,13.100,12.750,12.750,12.750,+0.350,+2.75%,13/06,
