,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Nigeria 2Y,19.793,19.793,19.793,19.793,+0.000,+0.00%,13/06,
,Nigeria 3Y,18.299,18.299,18.299,18.299,+0.000,+0.00%,13/06,
,Nigeria 4Y,18.512,18.512,18.512,18.512,+0.000,+0.00%,13/06,
,Nigeria 5Y,18.726,18.726,18.726,18.726,+0.000,+0.00%,13/06,
,Nigeria 7Y,18.843,18.843,18.843,18.843,+0.000,+0.00%,13/06,
,Nigeria 10Y,19.627,19.627,19.627,19.627,+0.000,+0.00%,13/06,
,Nigeria 20Y,18.645,18.645,18.645,18.645,0.000,0.00%,13/06,
,Nigeria 30Y,17.748,17.748,17.748,17.748,0.000,0.00%,13/06,
