,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Israel 1M,4.327,4.950,4.501,4.327,+0.000,+0.00%,10/06,
,Israel 3M,4.475,4.423,4.475,4.427,+0.181,+4.22%,13/06,
,Israel 6M,4.453,4.445,4.453,4.453,+0.134,+3.10%,13/06,
,Israel 9M,4.403,4.383,4.418,4.358,+0.059,+1.36%,13/06,
,Israel 1Y,4.317,4.319,4.345,4.306,-0.020,-0.46%,13/06,
,Israel 2Y,4.472,4.475,4.482,4.456,+0.008,+0.18%,13/06,
,Israel 3Y,4.571,4.574,4.754,4.557,-0.044,-0.95%,13/06,
,Israel 5Y,4.669,4.676,4.737,4.638,-0.054,-1.14%,13/06,
,Israel 10Y,4.958,4.967,5.028,4.924,-0.045,-0.90%,13/06,
,Israel 20Y,5.095,5.100,5.120,5.062,-0.055,-1.07%,13/06,
,Israel 30Y,5.421,5.423,5.445,5.391,-0.026,-0.48%,13/06,
