,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Poland Overnight,5.300,5.190,5.600,4.500,+0.110,+2.12%,07:42:01,
,Poland 1M,5.710,5.500,5.720,5.500,+0.210,+3.82%,07:30:22,
,Poland 2M,5.700,5.500,5.760,5.500,+0.200,+3.64%,07:35:21,
,Poland 1Y,4.761,4.807,4.914,4.804,-0.046,-0.96%,07:43:50,
,Poland 2Y,5.096,5.197,5.255,5.186,-0.101,-1.94%,07:29:00,
,Poland 3Y,5.312,5.363,5.417,5.340,-0.051,-0.96%,07:43:00,
,Poland 4Y,5.395,5.397,5.459,5.386,-0.002,-0.04%,07:42:58,
,Poland 5Y,5.552,5.578,5.598,5.553,-0.026,-0.47%,07:44:05,
,Poland 6Y,5.604,5.639,5.675,5.622,-0.035,-0.62%,07:43:05,
,Poland 7Y,5.501,5.508,5.680,5.508,0.000,0.00%,15/05,
,Poland 8Y,5.694,5.646,5.763,5.646,+0.048,+0.85%,13/06,
,Poland 10Y,5.703,5.719,5.732,5.706,-0.016,-0.28%,07:44:34,
