,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Vietnam 1Y,1.958,2.013,2.013,2.007,-0.055,-2.73%,00:10:02,
,Vietnam 2Y,1.969,2.024,2.023,2.019,-0.055,-2.72%,00:10:01,
,Vietnam 3Y,1.994,2.049,2.049,2.044,-0.055,-2.68%,00:10:02,
,Vietnam 5Y,2.064,2.144,2.143,2.114,-0.080,-3.73%,00:10:01,
,Vietnam 7Y,2.329,2.378,2.379,2.377,-0.049,-2.06%,00:10:01,
,Vietnam 10Y,2.826,2.907,2.907,2.901,-0.081,-2.79%,00:10:01,
,Vietnam 15Y,3.057,3.087,3.097,3.087,-0.030,-0.97%,00:10:02,
,Vietnam 20Y,3.211,3.258,3.257,3.251,-0.047,-1.44%,00:10:02,
,Vietnam 30Y,3.295,3.335,3.335,3.335,-0.040,-1.20%,00:10:02,
