,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Namibia 3M,9.054,9.000,9.000,9.000,+0.000,+0.00%,02:03:12,
,Namibia 6M,9.059,9.100,9.100,9.100,0.000,0.00%,02:03:10,
,Namibia 9M,9.010,9.150,9.150,9.150,0.000,0.00%,02:03:12,
,Namibia 1Y,9.013,9.250,9.250,9.250,0.000,0.00%,02:03:13,
,Namibia 3Y,9.367,9.249,9.300,9.189,+0.118,+1.28%,06:15:53,
,Namibia 7Y,10.137,10.014,10.082,9.956,+0.123,+1.23%,07:17:49,
,Namibia 10Y,10.840,10.667,10.739,10.619,+0.173,+1.62%,07:17:49,
,Namibia 15Y,12.705,12.430,12.478,12.384,+0.275,+2.21%,06:15:54,
,Namibia 20Y,13.083,12.786,12.856,12.747,+0.298,+2.33%,07:17:50,
