,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Kenya Overnight,13.408,13.408,13.408,13.408,0.00,0.00%,31/05,
,Kenya 3M,15.972,15.965,15.972,15.972,+0.000,+0.00%,01:30:39,
,Kenya 6M,16.700,16.640,16.700,16.700,+0.000,+0.00%,01:30:39,
,Kenya 1Y,16.754,16.731,16.754,16.754,+0.000,+0.00%,01:30:39,
,Kenya 2Y,17.978,17.460,17.460,17.460,+0.000,+0.00%,02:03:13,
,Kenya 3Y,17.646,17.030,17.030,17.030,+0.000,+0.00%,02:03:05,
,Kenya 4Y,18.281,17.570,17.570,17.570,+0.000,+0.00%,02:03:07,
,Kenya 5Y,18.390,17.670,17.675,17.670,+0.000,+0.00%,02:03:02,
,Kenya 6Y,18.941,18.170,18.170,18.170,+0.000,+0.00%,02:03:02,
,Kenya 7Y,18.234,17.520,17.520,17.520,+0.000,+0.00%,02:03:06,
,Kenya 8Y,17.916,17.230,17.230,17.230,+0.000,+0.00%,02:03:01,
,Kenya 9Y,17.615,16.950,16.950,16.950,+0.000,+0.00%,02:03:09,
,Kenya 10Y,17.465,16.810,16.810,16.810,+0.000,+0.00%,02:03:02,
,Kenya 15Y,16.923,16.310,16.923,16.923,+0.000,+0.00%,02:03:04,
,Kenya 20Y,16.771,16.170,16.771,16.771,+0.000,+0.00%,02:03:01,
,Kenya 25Y,16.844,16.240,16.844,16.844,+0.000,+0.00%,02:03:10,
