,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,France 1M,3.671,3.646,3.788,3.652,+0.025,+0.69%,07:01:49,
,France 3M,3.711,3.677,3.772,3.711,+0.034,+0.92%,07:41:14,
,France 6M,3.631,3.622,3.653,3.621,+0.009,+0.25%,07:42:39,
,France 9M,3.385,3.487,3.495,3.140,-0.102,-2.93%,07:42:40,
,France 1Y,3.417,3.474,3.461,3.411,-0.057,-1.64%,07:43:09,
,France 2Y,2.988,3.118,3.117,2.978,-0.130,-4.17%,07:44:24,
,France 3Y,2.932,3.027,3.017,2.925,-0.095,-3.14%,07:44:35,
,France 4Y,2.894,2.987,2.985,2.887,-0.093,-3.11%,07:44:34,
,France 5Y,2.885,2.969,2.978,2.882,-0.084,-2.83%,07:44:34,
,France 6Y,2.919,2.994,3.004,2.917,-0.075,-2.51%,07:44:37,
,France 7Y,2.9350,3.0070,3.0140,2.9335,-0.0720,-2.39%,07:44:38,
,France 8Y,2.987,3.055,3.063,2.987,-0.068,-2.23%,07:44:38,
,France 9Y,3.072,3.136,3.147,3.068,-0.064,-2.04%,07:44:37,
,France 10Y,3.170,3.181,3.197,3.164,-0.011,-0.35%,03:09:01,
,France 15Y,3.324,3.386,3.404,3.320,-0.062,-1.83%,07:44:37,
,France 20Y,3.415,3.477,3.503,3.412,-0.062,-1.78%,07:44:34,
,France 25Y,3.470,3.529,3.546,3.468,-0.059,-1.67%,07:44:39,
,France 30Y,3.570,3.631,3.663,3.569,-0.061,-1.68%,07:44:38,
,France 50Y,2.985,3.064,3.093,2.985,-0.079,-2.58%,07:44:34,
