,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Mexico 1M,11.696,11.100,11.140,11.100,+0.596,+5.37%,13/06,
,Mexico 3M,11.644,11.160,11.200,11.160,+0.483,+4.33%,13/06,
,Mexico 6M,11.564,11.230,11.290,11.230,+0.334,+2.97%,13/06,
,Mexico 9M,11.399,11.240,11.320,11.240,+0.159,+1.41%,13/06,
,Mexico 1Y,11.023,11.010,11.010,11.010,+0.013,+0.12%,13/06,
,Mexico 3Y,10.837,10.554,10.720,10.478,+0.283,+2.69%,13/06,
,Mexico 5Y,10.583,10.354,10.360,10.221,+0.228,+2.21%,13/06,
,Mexico 7Y,10.514,10.264,10.264,10.144,+0.250,+2.44%,13/06,
,Mexico 10Y,10.469,10.104,10.155,10.097,+0.364,+3.61%,13/06,
,Mexico 15Y,10.544,10.164,10.250,10.164,+0.380,+3.74%,13/06,
,Mexico 20Y,10.551,10.184,10.260,10.165,+0.367,+3.60%,13/06,
,Mexico 30Y,10.554,10.184,10.230,10.184,+0.370,+3.63%,13/06,
