,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Slovenia 1Y,3.704,3.720,3.737,3.704,-0.016,-0.43%,07:12:00,
,Slovenia 3Y,3.282,3.528,3.336,3.239,-0.246,-6.97%,07:44:12,
,Slovenia 4Y,3.015,3.191,3.108,3.008,-0.176,-5.52%,07:44:22,
,Slovenia 5Y,2.933,3.086,3.014,2.928,-0.153,-4.96%,07:44:12,
,Slovenia 7Y,2.839,2.959,2.919,2.835,-0.120,-4.06%,07:44:12,
,Slovenia 8Y,2.883,2.973,2.946,2.871,-0.090,-3.03%,07:44:18,
,Slovenia 10Y,3.098,3.208,3.175,3.098,-0.110,-3.43%,07:44:21,
,Slovenia 15Y,3.239,3.349,3.310,3.235,-0.110,-3.28%,07:44:22,
,Slovenia 20Y,3.426,3.521,3.470,3.408,-0.095,-2.70%,07:44:25,
,Slovenia 25Y,3.526,3.622,3.598,3.523,-0.096,-2.65%,07:44:14,
