,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Cyprus 2Y,2.935,3.297,3.336,3.210,-0.362,-10.98%,07:44:20,
,Cyprus 3Y,3.107,3.269,3.231,3.165,-0.162,-4.96%,07:44:21,
,Cyprus 4Y,3.113,3.316,3.301,3.184,-0.203,-6.12%,07:44:02,
,Cyprus 7Y,3.010,3.198,3.193,3.096,-0.189,-5.89%,07:44:20,
,Cyprus 10Y,3.273,3.359,3.337,3.278,-0.086,-2.55%,07:44:18,
,Cyprus 20Y,3.761,3.870,3.856,3.784,-0.108,-2.80%,07:43:47,
,Cyprus 30Y,3.861,3.868,3.975,3.860,-0.007,-0.18%,07:43:12,
