,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Sri Lanka 3M,9.100,9.200,9.100,9.100,-0.100,-1.09%,04:12:35,
,Sri Lanka 6M,9.500,9.500,9.500,9.500,+0.000,+0.00%,04:12:35,
,Sri Lanka 1Y,10.073,9.970,9.990,9.990,+0.103,+1.04%,07:39:31,
,Sri Lanka 2Y,10.504,10.397,10.450,10.396,+0.107,+1.03%,07:39:34,
,Sri Lanka 3Y,10.870,10.797,10.703,10.703,+0.072,+0.67%,07:39:26,
,Sri Lanka 4Y,11.460,11.293,11.226,11.226,+0.168,+1.48%,07:39:23,
,Sri Lanka 5Y,11.509,11.366,11.288,11.250,+0.143,+1.26%,07:39:35,
,Sri Lanka 6Y,11.879,11.719,11.740,11.740,+0.160,+1.37%,07:39:28,
,Sri Lanka 7Y,12.285,12.062,12.045,12.045,+0.224,+1.85%,07:39:27,
,Sri Lanka 8Y,12.411,12.216,12.411,12.411,+0.000,+0.00%,13/06,
,Sri Lanka 9Y,12.569,12.358,12.347,12.347,+0.211,+1.71%,07:39:23,
,Sri Lanka 10Y,13.149,12.972,13.149,13.149,+0.000,+0.00%,07:39:23,
,Sri Lanka 15Y,13.254,13.102,13.254,13.254,+0.000,+0.00%,07:39:27,
