,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Egypt Overnight,27.293,27.293,27.293,27.293,-0.012,-0.04%,13/06,
,Egypt 3M,28.477,25.286,28.477,28.477,+0.000,+0.00%,13/06,
,Egypt 6M,27.452,25.634,27.452,27.452,+0.000,+0.00%,13/06,
,Egypt 9M,26.476,26.052,26.476,26.476,+0.000,+0.00%,13/06,
,Egypt 1Y,26.102,25.925,26.102,26.102,+0.000,+0.00%,13/06,
,Egypt 2Y,25.056,24.891,25.056,25.056,0.000,0.00%,13/06,
,Egypt 3Y,26.174,24.830,26.174,26.174,+0.000,+0.00%,13/06,
,Egypt 5Y,25.788,24.460,25.788,25.788,+1.078,+4.36%,13/06,
,Egypt 7Y,25.566,24.250,25.566,25.566,+0.000,+0.00%,13/06,
,Egypt 10Y,25.471,24.190,25.471,25.471,+0.000,+0.00%,13/06,
