,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Kazakhstan 1M,14.414,13.843,13.954,13.800,+0.00,+0.00%,26/01,
,Kazakhstan 3M,13.944,13.891,13.891,13.614,+0.00,+0.00%,26/01,
,Kazakhstan 6M,13.608,13.400,13.500,13.400,+0.00,+0.00%,26/01,
,Kazakhstan 1Y,13.087,13.051,13.943,13.051,+0.00,+0.00%,26/01,
,Kazakhstan 2Y,12.979,13.241,13.281,13.241,0.00,0.00%,26/01,
,Kazakhstan 3Y,12.922,13.200,13.222,13.200,0.00,0.00%,26/01,
,Kazakhstan 4Y,12.890,13.079,13.191,13.079,0.00,0.00%,26/01,
,Kazakhstan 5Y,12.757,13.050,13.057,13.050,0.00,0.00%,26/01,
,Kazakhstan 6Y,12.651,13.241,13.241,12.945,0.00,0.00%,26/01,
,Kazakhstan 7Y,12.651,12.432,12.952,12.432,+0.00,+0.00%,26/01,
,Kazakhstan 8Y,12.502,12.796,12.803,12.796,0.00,0.00%,26/01,
,Kazakhstan 9Y,12.402,13.391,13.391,12.696,0.00,0.00%,26/01,
,Kazakhstan 10Y,12.203,12.500,12.503,12.500,0.00,0.00%,26/01,
,Kazakhstan 15Y,12.023,12.322,12.323,12.322,0.00,0.00%,26/01,
,Kazakhstan 25Y,11.800,12.100,12.100,12.100,0.00,0.00%,26/01,
