,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Singapore 1M,3.973,3.923,3.923,3.923,+0.050,+1.27%,04:49:14,
,Singapore 3M,3.905,3.872,3.872,3.872,+0.033,+0.85%,04:49:14,
,Singapore 6M,3.711,3.700,3.700,3.700,+0.011,+0.28%,04:49:14,
,Singapore 1Y,3.555,3.570,3.570,3.570,-0.015,-0.42%,04:49:14,
,Singapore 2Y,3.346,3.345,3.358,3.304,0.002,0.04%,04:50:02,
,Singapore 5Y,3.184,3.169,3.201,3.147,0.015,0.46%,04:50:02,
,Singapore 10Y,3.180,3.167,3.228,3.167,0.013,0.41%,04:50:02,
,Singapore 15Y,3.200,3.192,3.234,3.180,0.007,0.23%,04:50:01,
,Singapore 20Y,3.144,3.139,3.198,3.128,0.005,0.16%,04:50:01,
,Singapore 30Y,3.105,3.100,3.146,3.092,0.004,0.15%,04:50:01,
,Singapore 50Y,3.086,3.080,3.131,3.071,0.005,0.18%,04:50:01,
