,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Indonesia 1M,5.808,5.651,5.808,5.808,+0.321,+5.85%,02:18:48,
,Indonesia 3M,5.834,5.756,5.834,5.834,+0.059,+1.02%,02:18:48,
,Indonesia 6M,6.142,6.103,6.142,6.142,+0.055,+0.90%,02:18:48,
,Indonesia 1Y,6.742,6.923,6.742,6.725,+0.084,+1.26%,04:31:44,
,Indonesia 3Y,6.869,6.843,6.869,6.816,+0.096,+1.42%,04:31:44,
,Indonesia 5Y,7.073,7.111,7.129,7.032,+0.128,+1.84%,04:31:42,
,Indonesia 10Y,7.268,7.140,7.277,7.074,+0.305,+4.38%,04:31:43,
,Indonesia 15Y,7.187,7.102,7.187,7.139,+0.166,+2.36%,04:31:45,
,Indonesia 20Y,7.235,7.133,7.235,7.177,+0.166,+2.35%,04:31:42,
,Indonesia 25Y,7.155,7.056,7.155,7.108,+0.146,+2.08%,05:07:17,
,Indonesia 30Y,7.157,7.055,7.158,7.132,+0.120,+1.71%,04:35:40,
