,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Japan 1M,0.027,0.032,0.027,0.027,-0.004,-12.90%,13/06,
,Japan 3M,-0.020,0.065,0.018,-0.020,-0.085,-130.77%,05:25:57,
,Japan 6M,0.028,0.095,0.041,0.028,-0.067,-70.53%,05:25:57,
,Japan 9M,0.095,0.100,0.095,0.095,-0.005,-5.00%,13/06,
,Japan 1Y,0.150,0.159,0.163,0.146,-0.009,-5.66%,05:25:57,
,Japan 2Y,0.291,0.299,0.322,0.289,-0.008,-2.68%,05:29:53,
,Japan 3Y,0.344,0.351,0.378,0.342,-0.007,-1.99%,05:28:49,
,Japan 4Y,0.432,0.441,0.467,0.427,-0.009,-2.04%,05:25:57,
,Japan 5Y,0.515,0.515,0.544,0.504,0.000,0.00%,05:25:57,
,Japan 6Y,0.551,0.561,0.593,0.536,-0.010,-1.78%,05:25:57,
,Japan 7Y,0.632,0.643,0.685,0.619,-0.011,-1.71%,05:26:00,
,Japan 8Y,0.738,0.749,0.776,0.720,-0.011,-1.47%,05:26:00,
,Japan 9Y,0.840,0.854,0.875,0.819,-0.014,-1.64%,05:29:11,
,Japan 10Y,0.924,0.930,0.957,0.905,-0.006,-0.65%,05:25:57,
,Japan 15Y,1.421,1.529,1.443,1.391,-0.108,-7.06%,05:25:57,
,Japan 20Y,1.728,1.734,1.753,1.699,-0.006,-0.35%,05:25:57,
,Japan 30Y,2.051,2.088,2.069,2.011,-0.037,-1.77%,05:28:48,
,Japan 40Y,2.236,2.219,2.254,2.199,+0.017,+0.77%,05:25:57,
