,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Morocco 3M,2.967,3.116,2.967,2.967,-0.149,-4.80%,02:03:05,
,Morocco 6M,3.131,3.198,3.131,3.131,-0.068,-2.11%,02:03:07,
,Morocco 2Y,3.246,3.345,3.246,3.246,-0.099,-2.96%,02:03:14,
,Morocco 5Y,3.433,3.533,3.433,3.433,-0.100,-2.83%,02:03:02,
,Morocco 10Y,3.728,3.828,3.728,3.728,-0.100,-2.61%,02:03:02,
,Morocco 15Y,3.980,4.080,3.980,3.980,-0.100,-2.45%,02:03:11,
