,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Belgium 1M,3.626,3.585,3.629,3.609,+0.041,+1.14%,06:40:00,
,Belgium 3M,3.600,3.596,3.640,0.000,+0.004,+0.11%,07:44:00,
,Belgium 6M,3.543,3.555,3.581,3.539,-0.012,-0.34%,07:44:01,
,Belgium 9M,3.444,3.487,3.475,3.443,-0.043,-1.23%,07:41:09,
,Belgium 2Y,2.967,3.087,3.063,2.932,-0.120,-3.89%,07:44:34,
,Belgium 3Y,2.827,2.958,2.928,2.819,-0.131,-4.43%,07:44:14,
,Belgium 4Y,2.729,2.854,2.857,2.724,-0.125,-4.38%,07:44:34,
,Belgium 5Y,2.759,2.865,2.865,2.757,-0.106,-3.70%,07:44:37,
,Belgium 6Y,2.786,2.882,2.880,2.777,-0.096,-3.33%,07:44:33,
,Belgium 7Y,2.847,2.936,2.962,2.841,-0.089,-3.03%,07:44:35,
,Belgium 8Y,2.911,3.002,3.012,2.904,-0.091,-3.03%,07:44:35,
,Belgium 9Y,2.956,3.040,3.061,2.948,-0.084,-2.76%,07:44:34,
,Belgium 10Y,3.051,3.135,3.154,3.042,-0.084,-2.68%,07:44:30,
,Belgium 15Y,3.272,3.367,3.388,3.272,-0.095,-2.82%,07:44:34,
,Belgium 20Y,3.403,3.494,3.525,3.403,-0.091,-2.60%,07:44:36,
,Belgium 30Y,3.507,3.603,3.625,3.506,-0.096,-2.66%,07:44:36,
,Belgium 50Y,2.961,3.062,3.082,2.958,-0.101,-3.30%,07:44:37,
