,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Brazil 3M,10.285,10.290,10.285,10.285,-0.040,-0.39%,13/06,
,Brazil 6M,10.497,10.475,10.513,10.497,-0.013,-0.12%,13/06,
,Brazil 9M,10.688,10.705,10.745,10.688,-0.017,-0.16%,13/06,
,Brazil 1Y,10.942,11.019,11.020,10.865,-0.077,-0.70%,13/06,
,Brazil 2Y,11.376,11.355,11.527,11.376,+0.021,+0.18%,13/06,
,Brazil 3Y,11.451,11.515,11.620,11.451,-0.064,-0.56%,13/06,
,Brazil 5Y,11.883,11.945,12.047,11.883,-0.062,-0.52%,13/06,
,Brazil 8Y,12.111,12.158,12.248,12.111,-0.047,-0.39%,13/06,
,Brazil 10Y,12.100,12.150,12.235,12.100,-0.050,-0.41%,13/06,
