,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Portugal 3M,3.621,3.656,3.629,3.621,-0.035,-0.96%,07:35:27,
,Portugal 6M,3.542,3.528,3.542,3.542,+0.014,+0.40%,10/07,
,Portugal 1Y,3.366,3.436,3.410,3.363,-0.070,-2.04%,07:43:48,
,Portugal 2Y,2.883,2.992,3.016,2.859,-0.109,-3.64%,07:44:24,
,Portugal 3Y,2.756,2.842,2.880,2.731,-0.086,-3.03%,07:44:34,
,Portugal 4Y,2.669,2.741,2.725,2.647,-0.072,-2.63%,07:44:36,
,Portugal 5Y,2.702,2.776,2.782,2.688,-0.074,-2.67%,07:44:36,
,Portugal 6Y,2.739,2.815,2.821,2.724,-0.076,-2.70%,07:44:37,
,Portugal 7Y,2.755,2.838,2.800,2.745,-0.083,-2.92%,07:44:36,
,Portugal 8Y,2.831,2.902,2.899,2.815,-0.071,-2.45%,07:44:36,
,Portugal 9Y,2.920,2.991,2.965,2.899,-0.071,-2.37%,07:44:38,
,Portugal 10Y,3.132,3.190,3.191,3.111,-0.058,-1.82%,07:44:21,
,Portugal 15Y,3.368,3.444,3.476,3.348,-0.076,-2.21%,07:44:23,
,Portugal 20Y,3.459,3.516,3.515,3.430,-0.057,-1.62%,07:44:37,
,Portugal 30Y,3.734,3.774,3.760,3.710,-0.040,-1.06%,07:44:37,
