,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Chile 1Y,4.650,4.650,4.650,4.650,+0.170,+0.00%,13/06,
,Chile 2Y,4.580,4.580,4.580,4.580,+0.020,+0.00%,13/06,
,Chile 3Y,6.820,6.820,6.830,6.820,0.000,0.00%,11/10,
,Chile 4Y,5.300,5.300,5.300,5.300,-0.240,0.00%,13/06,
,Chile 4Y,2.600,2.600,2.600,2.600,+0.000,+0.00%,13/06,
,Chile 5Y,5.630,5.630,5.630,5.630,-0.010,0.00%,13/06,
,Chile 8Y,5.870,5.870,5.870,5.870,-0.020,0.00%,13/06,
,Chile 10Y,5.930,5.930,5.930,5.930,-0.010,0.00%,13/06,
,Chile 20Y,5.980,5.980,5.980,5.980,0.000,0.00%,13/06,
,Chile 30Y,5.980,5.980,5.980,5.980,+0.000,+0.00%,13/06,
