,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,India 3M,6.850,6.860,6.880,6.840,-0.010,-0.15%,07:33:52,
,India 6M,6.990,7.020,7.020,6.990,-0.030,-0.43%,07:33:52,
,India 1Y,6.988,6.963,7.002,6.988,+0.025,+0.36%,07:02:11,
,India 2Y,6.961,6.975,6.980,6.961,-0.014,-0.20%,06:15:11,
,India 3Y,6.992,6.993,7.005,6.989,-0.001,-0.01%,07:28:15,
,India 4Y,6.998,7.000,7.014,6.987,-0.002,-0.03%,07:30:15,
,India 5Y,7.022,7.010,7.047,7.005,+0.012,+0.17%,07:21:17,
,India 6Y,6.984,6.979,6.994,6.976,+0.005,+0.07%,07:27:10,
,India 7Y,7.064,7.048,7.102,7.040,+0.017,+0.23%,07:16:17,
,India 8Y,7.060,7.058,7.127,7.046,+0.003,+0.03%,07:29:14,
,India 9Y,7.042,7.037,7.043,7.029,+0.004,+0.07%,07:31:13,
,India 10Y,6.991,6.986,6.991,6.975,+0.005,+0.07%,07:31:23,
,India 11Y,7.063,7.063,7.063,7.063,+0.000,+0.00%,13/06,
,India 12Y,7.045,7.051,7.056,7.043,-0.006,-0.09%,07:30:15,
,India 13Y,7.065,7.063,7.075,7.053,+0.003,+0.03%,07:30:25,
,India 14Y,7.049,7.041,7.049,7.034,+0.008,+0.11%,07:31:13,
,India 15Y,7.036,7.013,7.036,7.010,+0.024,+0.33%,07:31:23,
,India 19Y,7.083,7.083,7.083,7.083,0.000,0.00%,13/06,
,India 24Y,7.090,7.088,7.110,7.090,+0.002,+0.03%,07:30:25,
,India 30Y,7.135,7.104,7.135,7.091,+0.031,+0.44%,07:30:15,
,India 40Y,7.115,7.120,7.130,7.108,-0.005,-0.07%,07:31:23,
