,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Thailand 1Y,2.368,2.400,2.400,2.400,0.000,0.00%,19/01,
,Thailand 2Y,2.364,2.400,2.364,2.364,0.000,0.00%,12/06,
,Thailand 3Y,2.403,2.420,2.420,2.403,-0.017,-0.70%,13/06,
,Thailand 4Y,2.464,2.570,2.570,2.570,0.000,0.00%,19/01,
,Thailand 5Y,2.503,2.500,2.503,2.503,0.000,0.00%,11/06,
,Thailand 7Y,2.662,2.690,2.690,2.690,0.000,0.00%,19/01,
,Thailand 10Y,2.779,2.775,2.779,2.779,0.000,0.00%,03:49:23,
,Thailand 12Y,2.840,2.890,2.890,2.890,0.000,0.00%,19/01,
,Thailand 14Y,2.957,2.980,2.980,2.980,0.000,0.00%,19/01,
,Thailand 15Y,2.987,2.980,2.987,2.987,0.000,0.00%,13/06,
,Thailand 16Y,3.155,3.200,3.200,3.200,0.000,0.00%,19/01,
,Thailand 20Y,3.296,3.300,3.296,3.296,0.000,0.00%,13/06,
