,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Greece 1M,4.225,5.012,4.449,4.225,-0.787,-15.70%,06:41:02,
,Greece 3M,3.871,4.353,3.871,3.871,-0.482,-11.07%,07:06:05,
,Greece 6M,3.456,3.923,3.457,3.423,-0.467,-11.90%,07:06:05,
,Greece 1Y,3.245,3.561,3.490,3.221,-0.316,-8.87%,07:44:37,
,Greece 2Y,2.933,2.900,3.028,2.899,+0.033,+1.14%,13/06,
,Greece 5Y,3.135,3.198,3.154,3.096,-0.063,-1.97%,07:44:35,
,Greece 7Y,3.331,3.363,3.348,3.292,-0.032,-0.95%,07:44:12,
,Greece 10Y,3.648,3.660,3.662,3.605,-0.012,-0.33%,07:44:36,
,Greece 15Y,3.886,3.923,3.903,3.828,-0.037,-0.94%,07:44:38,
,Greece 20Y,4.065,4.034,4.079,3.981,+0.031,+0.77%,07:44:22,
,Greece 30Y,4.194,4.230,4.213,4.165,-0.036,-0.85%,07:44:39,
