,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Ireland 1Y,3.413,3.692,3.498,3.413,-0.279,-7.56%,07:44:38,
,Ireland 2Y,3.030,3.085,3.176,2.978,-0.055,-1.78%,13/06,
,Ireland 3Y,2.746,2.937,2.933,2.734,-0.191,-6.50%,07:43:54,
,Ireland 4Y,2.665,2.812,2.774,2.662,-0.147,-5.23%,07:44:35,
,Ireland 5Y,2.636,2.794,2.771,2.452,-0.158,-5.65%,07:44:38,
,Ireland 6Y,2.686,2.822,2.795,2.685,-0.136,-4.82%,07:44:35,
,Ireland 7Y,2.698,2.803,2.816,2.698,-0.105,-3.75%,07:44:37,
,Ireland 8Y,2.516,2.569,2.579,2.481,0.000,0.00%,08/12,
,Ireland 9Y,2.906,2.901,2.932,2.873,+0.005,+0.17%,13/06,
,Ireland 10Y,2.881,2.963,2.982,2.879,-0.082,-2.77%,07:44:38,
,Ireland 15Y,3.001,3.125,3.103,3.001,-0.124,-3.97%,07:44:36,
,Ireland 20Y,3.103,3.185,3.199,3.100,-0.082,-2.57%,07:44:36,
,Ireland 25Y,3.096,3.221,3.199,3.096,-0.125,-3.88%,07:44:34,
,Ireland 30Y,3.130,3.237,3.228,3.129,-0.107,-3.31%,07:44:37,
