,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,South Korea 1Y,3.348,3.339,3.348,3.348,0.000,0.00%,10/06,
,South Korea 2Y,3.329,3.323,3.374,3.320,-0.008,-0.24%,02:49:26,
,South Korea 3Y,3.252,3.253,3.259,3.245,-0.020,-0.61%,02:49:57,
,South Korea 4Y,3.283,3.275,3.290,3.280,-0.024,-0.73%,02:21:37,
,South Korea 5Y,3.266,3.263,3.302,3.263,-0.026,-0.79%,02:49:56,
,South Korea 10Y,3.301,3.311,3.351,3.300,-0.037,-1.11%,02:49:56,
,South Korea 20Y,3.262,3.260,3.278,3.260,-0.022,-0.67%,02:49:12,
,South Korea 30Y,3.199,3.203,3.211,3.196,-0.018,-0.56%,02:49:51,
,South Korea 50Y,3.175,3.175,3.175,3.175,-0.034,-1.06%,01:14:43,
