,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Mauritius 4M,3.414,3.450,3.414,3.414,+-0.036,+-1.06%,01:06:05,
,Mauritius 6M,3.457,3.500,3.457,3.457,+-0.043,+-1.23%,01:06:05,
,Mauritius 8M,3.545,3.600,3.545,3.545,-0.055,-1.53%,01:06:05,
,Mauritius 1Y,3.677,3.750,3.677,3.677,-0.073,-1.95%,00:59:29,
,Mauritius 2Y,4.305,4.358,4.305,4.305,-0.053,-1.22%,02:03:04,
,Mauritius 3Y,4.108,4.162,4.108,4.108,-0.054,-1.30%,02:03:09,
,Mauritius 4Y,4.500,4.550,4.500,4.500,-0.050,-1.10%,02:03:09,
,Mauritius 5Y,4.715,4.761,4.715,4.715,-0.045,-0.96%,02:03:09,
,Mauritius 10Y,5.191,5.250,5.191,5.191,-0.059,-1.12%,02:03:10,
,Mauritius 15Y,5.447,5.499,5.447,5.447,-0.052,-0.95%,02:03:04,
,Mauritius 20Y,5.642,5.690,5.642,5.642,-0.048,-0.84%,02:03:08,
