,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,South Africa 3M,8.300,8.090,8.350,8.050,+0.210,+2.60%,07:44:06,
,South Africa 5Y,9.098,8.915,9.151,9.041,+0.183,+2.05%,07:42:06,
,South Africa 10Y,10.362,10.125,10.414,10.288,+0.237,+2.34%,07:42:07,
,Souht Africa 12Y,11.272,10.990,11.325,11.198,+0.282,+2.57%,07:42:12,
,South Africa 20Y,12.703,12.335,12.745,12.618,+0.368,+2.98%,07:42:08,
,South Africa 25Y,12.778,12.400,12.825,12.687,+0.378,+3.05%,07:42:09,
,South Africa 30Y,12.679,12.305,12.724,12.584,+0.374,+3.04%,07:42:09,
