,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Finland 2Y,2.933,3.110,3.089,2.784,-0.177,-5.69%,07:44:34,
,Finland 3Y,2.846,2.999,2.982,2.838,-0.153,-5.10%,07:44:34,
,Finland 4Y,2.781,2.935,2.917,2.721,-0.154,-5.25%,07:44:34,
,Finland 5Y,2.778,2.911,2.896,2.771,-0.133,-4.57%,07:44:33,
,Finland 6Y,2.784,2.918,2.892,2.666,-0.134,-4.59%,07:44:37,
,Finland 8Y,2.843,2.972,2.953,2.842,-0.129,-4.34%,07:44:30,
,Finland 10Y,2.955,3.071,3.064,2.954,-0.116,-3.78%,07:44:34,
,Finland 15Y,3.139,3.270,3.266,3.135,-0.131,-4.01%,07:44:35,
,Finland 30Y,2.988,3.117,3.067,2.987,-0.129,-4.14%,07:44:36,
