,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Sweden 1M,3.781,3.746,3.781,3.781,+0.035,+0.93%,13/06,
,Sweden 2M,3.720,3.744,3.732,3.720,-0.024,-0.64%,13/06,
,Sweden 3M,3.719,3.721,3.741,3.719,-0.002,-0.05%,13/06,
,Sweden 6M,3.572,3.465,3.572,3.477,+0.107,+3.09%,13/06,
,Sweden 2Y,2.568,2.585,2.622,2.547,-0.017,-0.66%,13/06,
,Sweden 5Y,2.248,2.266,2.303,2.239,-0.018,-0.79%,13/06,
,Sweden 7Y,2.248,2.255,2.293,2.208,-0.007,-0.31%,13/06,
,Sweden 10Y,2.233,2.243,2.277,2.233,-0.010,-0.45%,13/06,
,Sweden 20Y,2.334,2.355,2.392,2.334,-0.021,-0.89%,13/06,
