,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Switzerland Overnight,1.300,1.190,1.300,1.180,+0.110,+9.24%,07:44:23,
,Switzerland 1W,1.150,1.190,1.400,1.090,-0.040,-3.36%,07:44:38,
,Switzerland 1M,1.300,1.260,1.370,1.270,+0.040,+3.17%,07:44:23,
,Switzerland 2M,1.320,1.320,1.320,1.110,0.000,0.00%,07:44:23,
,Switzerland 3M,1.140,1.190,1.360,1.130,-0.050,-4.20%,07:44:38,
,Switzerland 6M,1.190,1.260,1.330,1.190,-0.070,-5.56%,07:44:37,
,Switzerland 1Y,1.280,1.300,1.320,1.230,-0.020,-1.54%,07:43:48,
,Switzerland 2Y,0.872,0.958,0.888,0.872,-0.086,-8.98%,07:02:00,
,Switzerland 3Y,0.859,0.944,0.886,0.859,-0.085,-9.00%,07:12:00,
,Switzerland 4Y,0.846,0.946,0.879,0.845,-0.100,-10.57%,07:42:00,
,Switzerland 5Y,0.827,0.927,0.896,0.804,-0.100,-10.79%,07:29:00,
,Switzerland 6Y,0.754,0.852,0.801,0.752,-0.098,-11.50%,07:42:00,
,Switzerland 7Y,0.742,0.842,0.793,0.739,-0.100,-11.88%,07:42:00,
,Switzerland 8Y,0.738,0.828,0.783,0.736,-0.090,-10.87%,07:42:00,
,Switzerland 9Y,0.692,0.792,0.740,0.690,-0.100,-12.63%,07:42:00,
,Switzerland 10Y,0.696,0.788,0.733,0.694,-0.092,-11.68%,07:42:00,
,Switzerland 15Y,0.698,0.807,0.744,0.693,-0.109,-13.51%,07:42:00,
,Switzerland 20Y,0.680,0.785,0.726,0.678,-0.105,-13.38%,07:42:00,
,Switzerland 30Y,0.655,0.772,0.700,0.653,-0.117,-15.16%,07:42:00,
,Switzerland 40Y,0.569,0.664,0.606,0.544,-0.095,-14.31%,07:42:00,
