,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Bulgaria Overnight,3.500,3.500,3.500,3.500,0.00,0.00%,13/06,
,Bulgaria 1W,3.510,3.510,3.510,3.510,0.000,0.00%,13/06,
,Bulgaria 1M,3.530,3.530,3.530,3.530,0.000,0.00%,13/06,
,Bulgaria 1Y,3.117,3.182,3.181,3.181,0.000,0.00%,05:25:12,
,Bulgaria 2Y,3.054,3.280,3.054,3.054,0.000,0.00%,13/06,
,Bulgaria 3Y,3.095,3.320,3.095,3.095,0.000,0.00%,13/06,
,Bulgaria 4Y,3.125,3.350,3.125,3.125,0.000,0.00%,13/06,
,Bulgaria 5Y,3.176,3.400,3.176,3.176,0.000,0.00%,13/06,
,Bulgaria 7Y,3.500,3.500,3.500,3.500,0.000,0%,13/06,
,Bulgaria 10Y,4.041,4.100,4.041,4.041,0.000,0.00%,13/06,
