,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Austria 3M,3.691,3.726,3.755,3.742,-0.035,-0.95%,03:45:43,
,Austria 6M,3.645,3.697,3.723,3.669,-0.052,-1.42%,07:41:27,
,Austria 1Y,3.284,3.483,3.597,3.284,-0.199,-5.71%,07:44:32,
,Austria 2Y,2.863,3.088,3.249,2.863,-0.225,-7.29%,07:44:27,
,Austria 3Y,2.775,2.928,3.017,2.775,-0.153,-5.23%,07:44:34,
,Austria 4Y,2.744,2.865,2.919,2.744,-0.121,-4.22%,07:44:30,
,Austria 5Y,2.762,2.874,2.914,2.762,-0.112,-3.90%,07:44:34,
,Austria 6Y,2.786,2.896,2.915,2.786,-0.110,-3.80%,07:44:34,
,Austria 7Y,2.841,2.941,3.029,2.831,-0.100,-3.40%,07:44:35,
,Austria 8Y,2.880,2.978,2.995,2.880,-0.098,-3.29%,07:44:33,
,Austria 9Y,2.930,3.021,3.041,2.930,-0.091,-3.01%,07:44:34,
,Austria 10Y,2.964,3.048,3.066,2.964,-0.084,-2.76%,07:44:24,
,Austria 15Y,3.111,3.220,3.216,3.111,-0.109,-3.39%,07:44:37,
,Austria 20Y,3.133,3.245,3.238,3.133,-0.112,-3.45%,07:44:36,
,Austria 25Y,3.124,3.241,3.233,3.124,-0.117,-3.61%,07:44:36,
,Austria 30Y,3.070,3.186,3.188,3.070,-0.116,-3.64%,07:44:36,
,Austria 40Y,3.119,3.237,3.231,3.119,-0.118,-3.65%,07:44:36,
,Austria 50Y,2.920,2.961,2.990,2.913,-0.041,-1.38%,13/06,
